speaker_id,keyword,utterance_id,audio_path,transcript
b8154,banda,6bf1aa46e1,data/external/incoming/openslr_54/audio/6bf1aa46e1.wav,४८ बोरका बन्दुक
93f47,tala,62a1ddd9c2,data/external/incoming/openslr_54/audio/62a1ddd9c2.wav,५ जना अभियुक्तलाई
c7f90,tala,644d5cb056,data/external/incoming/openslr_54/audio/644d5cb056.wav,५ जना अभियुक्तलाई
d8b68,tala,8336593081,data/external/incoming/openslr_54/audio/8336593081.wav,५ जना अभियुक्तलाई
14abf,tala,8866d47f76,data/external/incoming/openslr_54/audio/8866d47f76.wav,५ जना अभियुक्तलाई
6f6a8,maathi,71e9657a9b,data/external/incoming/openslr_54/audio/71e9657a9b.wav,६० माइलदेखि माथि
cb74d,maathi,7cd3c1269d,data/external/incoming/openslr_54/audio/7cd3c1269d.wav,६० माइलदेखि माथि
c4565,maathi,82c584021d,data/external/incoming/openslr_54/audio/82c584021d.wav,६० माइलदेखि माथि
b1066,tala,efa0d19a0a,data/external/incoming/openslr_54/audio/efa0d19a0a.wav,६८ को बजेटमा चौँथो तहको सुरू तलव १५०००।
c64dc,huncha,bfad240cc6,data/external/incoming/openslr_54/audio/bfad240cc6.wav,६ वटा बीउहरू हुन्छन्
1d40e,huncha,4b6034f222,data/external/incoming/openslr_54/audio/4b6034f222.wav,७१ हजार ४२९ वर्ष हुन्छ
8aea1,huncha,58647378bd,data/external/incoming/openslr_54/audio/58647378bd.wav,७१ हजार ४२९ वर्ष हुन्छ
c89a6,tala,aa679013b7,data/external/incoming/openslr_54/audio/aa679013b7.wav,८० लाखबाट तल झर्‍यो
bc806,huncha,300b973b24,data/external/incoming/openslr_54/audio/300b973b24.wav,८१० वटा नीमको पात चपाएर खानाले र कुटेर शरीरमा मालिस गर्नाले रक्तपित्त नास हुन्छ।
d03c8,huncha,4dd036b4db,data/external/incoming/openslr_54/audio/4dd036b4db.wav,९० प्रतिशत महिलामा असामान्य रूपमा योनिबाट रक्तश्राव हुन्छ।
49220,tala,4f195ed6f8,data/external/incoming/openslr_54/audio/4f195ed6f8.wav,९ गते अदालतले
ba3bf,huncha,575f5eca6e,data/external/incoming/openslr_54/audio/575f5eca6e.wav,९ जना हुन्छन्
12f3b,huncha,b4232d376a,data/external/incoming/openslr_54/audio/b4232d376a.wav,९ जना हुन्छन्
92fd3,arko,117130ab71,data/external/incoming/openslr_54/audio/117130ab71.wav,९ मा र अर्को
81624,arko,36de08c71b,data/external/incoming/openslr_54/audio/36de08c71b.wav,अक्षताका रूपमा अर्को
839e7,huncha,59f46e1789,data/external/incoming/openslr_54/audio/59f46e1789.wav,अक्षर सम्बन्धित हुन्छन्
8fbe4,huncha,5e54ff8394,data/external/incoming/openslr_54/audio/5e54ff8394.wav,अक्षर सम्बन्धित हुन्छन्
9079f,huncha,b7d1c73e81,data/external/incoming/openslr_54/audio/b7d1c73e81.wav,अक्षर सम्बन्धित हुन्छन्
1f917,hoina,9913ec5f97,data/external/incoming/openslr_54/audio/9913ec5f97.wav,अक्षर होइन
33783,hoina,efa7a32467,data/external/incoming/openslr_54/audio/efa7a32467.wav,अक्षर होइन
95635,maathi,511978fa65,data/external/incoming/openslr_54/audio/511978fa65.wav,अक्सर पेयको माथि
41d46,maathi,6e1916c602,data/external/incoming/openslr_54/audio/6e1916c602.wav,अक्सर पेयको माथि
ee687,maathi,c49fe9da2f,data/external/incoming/openslr_54/audio/c49fe9da2f.wav,अक्सर पेयको माथि
bf3e7,huncha,875187adb3,data/external/incoming/openslr_54/audio/875187adb3.wav,अक्सिजन हुन्छन् यसमा
8389b,huncha,460644b7f7,data/external/incoming/openslr_54/audio/460644b7f7.wav,अखिलेश उपाध्याय हुनुहुन्छ
f1193,huncha,c2e8844aa7,data/external/incoming/openslr_54/audio/c2e8844aa7.wav,अखिलेश उपाध्याय हुनुहुन्छ
0cc60,huncha,8aeabc8839,data/external/incoming/openslr_54/audio/8aeabc8839.wav,अख्तियारी दिएको हुन्छ
3c2c4,huncha,7f9eb7e25e,data/external/incoming/openslr_54/audio/7f9eb7e25e.wav,अगाडि कसुरदार हुन्छ
e8b29,huncha,08c4ae4138,data/external/incoming/openslr_54/audio/08c4ae4138.wav,अग्रज पनि हुनुहुन्छ
6f65d,huncha,a4e76a8893,data/external/incoming/openslr_54/audio/a4e76a8893.wav,अग्लो हुन्छ
4170b,huncha,fc130689c3,data/external/incoming/openslr_54/audio/fc130689c3.wav,अग्लो हुन्छ
40e98,aghillo,6093638558,data/external/incoming/openslr_54/audio/6093638558.wav,अघिल्लो कडी बजाए
37155,aghillo,e04c285d65,data/external/incoming/openslr_54/audio/e04c285d65.wav,अघिल्लो कडी बजाए
f7150,aghillo,48603584d3,data/external/incoming/openslr_54/audio/48603584d3.wav,अघिल्लो चरणका
882ce,aghillo,8cdef8b88e,data/external/incoming/openslr_54/audio/8cdef8b88e.wav,अघिल्लो चरणका
76dab,aghillo,ec89f069dc,data/external/incoming/openslr_54/audio/ec89f069dc.wav,अघिल्लो चरणमा
bda65,aghillo,ace0e846d5,data/external/incoming/openslr_54/audio/ace0e846d5.wav,अघिल्लो दिन चोखो
8ef94,aghillo,446e1d5408,data/external/incoming/openslr_54/audio/446e1d5408.wav,अघिल्लो दिनदेखि सुरु
8ef94,suru,446e1d5408,data/external/incoming/openslr_54/audio/446e1d5408.wav,अघिल्लो दिनदेखि सुरु
49220,aghillo,562e032313,data/external/incoming/openslr_54/audio/562e032313.wav,अघिल्लो दिनदेखि सुरु
49220,suru,562e032313,data/external/incoming/openslr_54/audio/562e032313.wav,अघिल्लो दिनदेखि सुरु
6c16b,aghillo,adb2ff767e,data/external/incoming/openslr_54/audio/adb2ff767e.wav,अघिल्लो दिनदेखि सुरु
6c16b,suru,adb2ff767e,data/external/incoming/openslr_54/audio/adb2ff767e.wav,अघिल्लो दिनदेखि सुरु
125df,aghillo,b6c7127616,data/external/incoming/openslr_54/audio/b6c7127616.wav,अघिल्लो दिनदेखि सुरु
125df,suru,b6c7127616,data/external/incoming/openslr_54/audio/b6c7127616.wav,अघिल्लो दिनदेखि सुरु
1d75d,aghillo,b961babc27,data/external/incoming/openslr_54/audio/b961babc27.wav,अघिल्लो दिनदेखि सुरु
1d75d,suru,b961babc27,data/external/incoming/openslr_54/audio/b961babc27.wav,अघिल्लो दिनदेखि सुरु
39b91,aghillo,1bd5634d8a,data/external/incoming/openslr_54/audio/1bd5634d8a.wav,अघिल्लो दिन पूजाआजा
41d46,aghillo,41f9332cc0,data/external/incoming/openslr_54/audio/41f9332cc0.wav,अघिल्लो दिन पूजाआजा
aead3,aghillo,45e659d001,data/external/incoming/openslr_54/audio/45e659d001.wav,अघिल्लो पुस्ता पछिल्लो
62ba7,aghillo,6dbda223bb,data/external/incoming/openslr_54/audio/6dbda223bb.wav,अघिल्लो साँझदेखि नै
6c67c,aghillo,874f7ae407,data/external/incoming/openslr_54/audio/874f7ae407.wav,अघिल्लो साँझदेखि नै
125df,aghillo,a8fd65c1fa,data/external/incoming/openslr_54/audio/a8fd65c1fa.wav,अघिल्लो साँझदेखि नै
95358,huncha,350c654d05,data/external/incoming/openslr_54/audio/350c654d05.wav,अङ्गको अस्पतालमा हुन्छ
b222f,huncha,4fa31b31fa,data/external/incoming/openslr_54/audio/4fa31b31fa.wav,अङ्गको अस्पतालमा हुन्छ
d02b3,huncha,e8dbf56b6d,data/external/incoming/openslr_54/audio/e8dbf56b6d.wav,अङ्गको अस्पतालमा हुन्छ
8aea1,huncha,ee6857cfbc,data/external/incoming/openslr_54/audio/ee6857cfbc.wav,अङ्गको अस्पतालमा हुन्छ
8272f,tala,46d218f10a,data/external/incoming/openslr_54/audio/46d218f10a.wav,अङ्गको मद्दतले यो
d4e86,tala,72fbf7b775,data/external/incoming/openslr_54/audio/72fbf7b775.wav,अङ्गको मद्दतले यो
57551,tala,c51da089c5,data/external/incoming/openslr_54/audio/c51da089c5.wav,अङ्गको मद्दतले यो
0b298,huncha,39b8183053,data/external/incoming/openslr_54/audio/39b8183053.wav,अङ्ग हुन्छन्
f4763,huncha,5cdaf8f17a,data/external/incoming/openslr_54/audio/5cdaf8f17a.wav,अङ्ग हुन्छन्
daaab,huncha,eb2a3f1e36,data/external/incoming/openslr_54/audio/eb2a3f1e36.wav,अङ्ग हुन्छन्
96ad5,huncha,2b77bce5c8,data/external/incoming/openslr_54/audio/2b77bce5c8.wav,अङ्ग्रेजीको प्रयोग हुन्छ
07f55,huncha,753b2503ea,data/external/incoming/openslr_54/audio/753b2503ea.wav,अङ्ग्रेजीको प्रयोग हुन्छ
09da0,arko,354947df93,data/external/incoming/openslr_54/audio/354947df93.wav,अजिङ्गर यहाँको अर्को
5935d,huncha,1183a1170a,data/external/incoming/openslr_54/audio/1183a1170a.wav,अझ कहिलेकाहिँ अरू केही हिमाली भाषासँग यसको विभेद छुट्याउनै कठिन हुन्छ।
646f2,huncha,078b3db39c,data/external/incoming/openslr_54/audio/078b3db39c.wav,अझ बढी हुन्छ
8f426,huncha,32d624905a,data/external/incoming/openslr_54/audio/32d624905a.wav,अड्याइएको हुन्छ
95635,huncha,ce84a7ac24,data/external/incoming/openslr_54/audio/ce84a7ac24.wav,अड्याइएको हुन्छ
4dccf,huncha,1eb66a4a3e,data/external/incoming/openslr_54/audio/1eb66a4a3e.wav,अति वर्षा हुन्छ
363a2,huncha,875c9bca99,data/external/incoming/openslr_54/audio/875c9bca99.wav,अति वर्षा हुन्छ
7de40,huncha,a303de75b2,data/external/incoming/openslr_54/audio/a303de75b2.wav,अति वर्षा हुन्छ
b1c95,huncha,aeba6fa770,data/external/incoming/openslr_54/audio/aeba6fa770.wav,अति वर्षा हुन्छ
5df8e,huncha,d339cd9b0a,data/external/incoming/openslr_54/audio/d339cd9b0a.wav,अतिशयोक्ति हुन्छ नै
938ee,huncha,1e0a5bce7c,data/external/incoming/openslr_54/audio/1e0a5bce7c.wav,अत्यन्त जरुरी हुन्छ
ee50f,huncha,731252c406,data/external/incoming/openslr_54/audio/731252c406.wav,अत्यन्त जरुरी हुन्छ
39e3b,huncha,245e76213a,data/external/incoming/openslr_54/audio/245e76213a.wav,अत्यन्तै राम्रो हुन्छ
bad17,huncha,4b9241b774,data/external/incoming/openslr_54/audio/4b9241b774.wav,अत्यन्तै राम्रो हुन्छ
da6d1,huncha,ae4538eddb,data/external/incoming/openslr_54/audio/ae4538eddb.wav,अत्यन्तै राम्रो हुन्छ
5d5fe,huncha,36475129e6,data/external/incoming/openslr_54/audio/36475129e6.wav,अत्यन्तै लाभदायक हुन्छ
d03c8,huncha,6853a2c442,data/external/incoming/openslr_54/audio/6853a2c442.wav,अत्यन्तै लाभदायक हुन्छ
8f7f7,huncha,70765a5b69,data/external/incoming/openslr_54/audio/70765a5b69.wav,अत्यन्तै लाभदायक हुन्छ
b8154,huncha,fcacdb6089,data/external/incoming/openslr_54/audio/fcacdb6089.wav,अत्यन्तै लाभदायक हुन्छ
ece77,huncha,38f9e5430b,data/external/incoming/openslr_54/audio/38f9e5430b.wav,अत्याधिक कठिन हुन्छ
d26e5,huncha,5f9ee6cd26,data/external/incoming/openslr_54/audio/5f9ee6cd26.wav,अत्याधिक कठिन हुन्छ
3e9ed,huncha,826f0b81b6,data/external/incoming/openslr_54/audio/826f0b81b6.wav,अत्याधिक गर्मी हुन्छ
c69a8,tala,4b79045e07,data/external/incoming/openslr_54/audio/4b79045e07.wav,अत्याधिक मात्रामा पातलो
33d55,huncha,22f6a2ef95,data/external/incoming/openslr_54/audio/22f6a2ef95.wav,अत्याधिक वर्षा हुन्छ
4d069,arko,52469fbe3f,data/external/incoming/openslr_54/audio/52469fbe3f.wav,अथवा कुनै अर्को
1f790,arko,830cf4df5d,data/external/incoming/openslr_54/audio/830cf4df5d.wav,अथवा कुनै अर्को
c687c,arko,9127b9a716,data/external/incoming/openslr_54/audio/9127b9a716.wav,अथवा कुनै अर्को
22521,arko,ddf25e32a0,data/external/incoming/openslr_54/audio/ddf25e32a0.wav,अथवा कुनै अर्को
aec56,tala,1cb92ac67d,data/external/incoming/openslr_54/audio/1cb92ac67d.wav,अदालतलाई अधिकार तोकिदिएको
2001f,tala,a13bc42b1b,data/external/incoming/openslr_54/audio/a13bc42b1b.wav,अदालतलाई अधिकार तोकिदिएको
f1193,tala,7d8a46c4d0,data/external/incoming/openslr_54/audio/7d8a46c4d0.wav,अदालतले दिल्लीको सबै
8fbe4,tala,99029b79eb,data/external/incoming/openslr_54/audio/99029b79eb.wav,अदालतले फैसला गरेका
804c8,huncha,2667f7eb5f,data/external/incoming/openslr_54/audio/2667f7eb5f.wav,अधिक खर्च हुन्छ
b66ee,huncha,61c2e1b888,data/external/incoming/openslr_54/audio/61c2e1b888.wav,अधिक खर्च हुन्छ
53027,huncha,c598269868,data/external/incoming/openslr_54/audio/c598269868.wav,अधिक छिटो हुन्छ
2273c,maathi,ad4cbb17f5,data/external/incoming/openslr_54/audio/ad4cbb17f5.wav,अधिकतम कार्यकर्तामाथि
7070f,maathi,cb32630d3d,data/external/incoming/openslr_54/audio/cb32630d3d.wav,अधिकतम कार्यकर्तामाथि
0bb95,aghillo,98424033d1,data/external/incoming/openslr_54/audio/98424033d1.wav,अधिकार अघिल्लो प्रकरणमा
c55fb,aghillo,9eee8a7107,data/external/incoming/openslr_54/audio/9eee8a7107.wav,अधिकार अघिल्लो प्रकरणमा
d593e,aghillo,d704053bf1,data/external/incoming/openslr_54/audio/d704053bf1.wav,अधिकार अघिल्लो प्रकरणमा
84519,huncha,487c9c041c,data/external/incoming/openslr_54/audio/487c9c041c.wav,अधिकृत हुनुहुन्छ
fad24,huncha,89033dca0e,data/external/incoming/openslr_54/audio/89033dca0e.wav,अधिकृत हुनुहुन्छ
885af,maathi,219aa97d48,data/external/incoming/openslr_54/audio/219aa97d48.wav,अधिराज्यमाथि सात पल्ट
f5a31,maathi,78e0cd24de,data/external/incoming/openslr_54/audio/78e0cd24de.wav,अधिराज्यमाथि सात पल्ट
9c1c2,maathi,938735d717,data/external/incoming/openslr_54/audio/938735d717.wav,अधिराज्यमाथि सात पल्ट
79c24,maathi,c676bcd4d0,data/external/incoming/openslr_54/audio/c676bcd4d0.wav,अधिराज्यमाथि सात पल्ट
5a9c4,maathi,ea462fcecd,data/external/incoming/openslr_54/audio/ea462fcecd.wav,अधिराज्यमाथि सात पल्ट
12e6a,huncha,0002f96e3e,data/external/incoming/openslr_54/audio/0002f96e3e.wav,अध्यक्ष पनि हुनुहुन्छ
4170b,huncha,be1da47ca7,data/external/incoming/openslr_54/audio/be1da47ca7.wav,अध्यक्ष पनि हुनुहुन्छ
79c24,huncha,12d3bcedfa,data/external/incoming/openslr_54/audio/12d3bcedfa.wav,अध्यक्ष हुनुहुन्छ
47075,huncha,7cee6f0755,data/external/incoming/openslr_54/audio/7cee6f0755.wav,अध्ययनमा सुविधा हुन्छ।
29c22,huncha,c5513153d2,data/external/incoming/openslr_54/audio/c5513153d2.wav,अध्ययनमा सुविधा हुन्छ।
551a5,huncha,b0f54ec138,data/external/incoming/openslr_54/audio/b0f54ec138.wav,अध्ययनमा सुविधा हुन्छं।
8389b,suru,75ad502c0a,data/external/incoming/openslr_54/audio/75ad502c0a.wav,अध्ययन सुरु गरे
6d3c6,huncha,2d5c866879,data/external/incoming/openslr_54/audio/2d5c866879.wav,अनमोल हुन्छ सम्पूर्ण
d8bcb,huncha,488c1023e2,data/external/incoming/openslr_54/audio/488c1023e2.wav,अनमोल हुन्छ सम्पूर्ण
ca5ed,huncha,501a79b0ed,data/external/incoming/openslr_54/audio/501a79b0ed.wav,अनमोल हुन्छ सम्पूर्ण
b33c6,tala,79fd774e50,data/external/incoming/openslr_54/audio/79fd774e50.wav,अनि त्यस मूर्तिको विशेषता के छ भने सिंहासनमा सुतेर दायाँ हातले शिरलाई अडेस लगाइएको छ।
41b2c,huncha,96dd22527b,data/external/incoming/openslr_54/audio/96dd22527b.wav,अनि निर्माण हुन्छ
163a6,feri,87b5bd3dab,data/external/incoming/openslr_54/audio/87b5bd3dab.wav,अनि फेरि त्यही
8aea1,feri,bb795534d4,data/external/incoming/openslr_54/audio/bb795534d4.wav,अनि फेरि त्यही
5f3e5,huncha,68af681036,data/external/incoming/openslr_54/audio/68af681036.wav,अनियमित अवधिमा हुन्छ
aaf41,banda,b80da8028e,data/external/incoming/openslr_54/audio/b80da8028e.wav,अनिवार्य बन्देज लगायो
7c0af,hoina,d80a1abbb9,data/external/incoming/openslr_54/audio/d80a1abbb9.wav,अनिवार्य भने होइन
daaab,huncha,67a720059c,data/external/incoming/openslr_54/audio/67a720059c.wav,अनुगामी हुन्छ
237a3,huncha,ceb7d83ba5,data/external/incoming/openslr_54/audio/ceb7d83ba5.wav,अनुगामी हुन्छ
d4824,huncha,86965fc80f,data/external/incoming/openslr_54/audio/86965fc80f.wav,अनुमति हुन्छ
f5932,huncha,f1fbc6a0af,data/external/incoming/openslr_54/audio/f1fbc6a0af.wav,अनुमान हुन्छ
0234b,huncha,63164c077b,data/external/incoming/openslr_54/audio/63164c077b.wav,अनुसार भिन्न हुन्छ
d26e5,tala,af4ab85b61,data/external/incoming/openslr_54/audio/af4ab85b61.wav,अनेक उदाहरण शाकुन्तलममा
e4596,huncha,0679853ba4,data/external/incoming/openslr_54/audio/0679853ba4.wav,अनेक कारण हुन्छन्।
35f03,huncha,8b221eeff1,data/external/incoming/openslr_54/audio/8b221eeff1.wav,अनेक कारण हुन्छन्।
2f34a,huncha,075acf2820,data/external/incoming/openslr_54/audio/075acf2820.wav,अनेक हुन्छन् यसैले
a5793,huncha,ef5a5387be,data/external/incoming/openslr_54/audio/ef5a5387be.wav,अनेक हुन्छन् यसैले
e7c22,huncha,f1893d73ae,data/external/incoming/openslr_54/audio/f1893d73ae.wav,अनौठो हुन्छ
e72b0,huncha,f34937ae5d,data/external/incoming/openslr_54/audio/f34937ae5d.wav,अनौठो हुन्छ
6fa0e,hoina,73ad5a54d1,data/external/incoming/openslr_54/audio/73ad5a54d1.wav,अनौठो होइन जति
99942,hoina,ffeea5691f,data/external/incoming/openslr_54/audio/ffeea5691f.wav,अनौठो होइन जति
ea935,huncha,e5daba27cf,data/external/incoming/openslr_54/audio/e5daba27cf.wav,अन्तको लागि हुन्छ
6c1a9,huncha,e996e2dcc4,data/external/incoming/openslr_54/audio/e996e2dcc4.wav,अन्तको लागि हुन्छ
2a5b1,suru,57cabc93c3,data/external/incoming/openslr_54/audio/57cabc93c3.wav,अन्तदेखि सुरु उपन्यास
31a35,suru,a974cd1005,data/external/incoming/openslr_54/audio/a974cd1005.wav,अन्तदेखि सुरु उपन्यास
aacd5,suru,d93519e325,data/external/incoming/openslr_54/audio/d93519e325.wav,अन्तदेखि सुरु उपन्यास
5b437,huncha,537392bf03,data/external/incoming/openslr_54/audio/537392bf03.wav,अन्तिम अक्षर व हुन्छ
5297a,huncha,a94bb9ff8b,data/external/incoming/openslr_54/audio/a94bb9ff8b.wav,अन्तिम अक्षर व हुन्छ
8aea1,huncha,e9099be311,data/external/incoming/openslr_54/audio/e9099be311.wav,अन्तिम अक्षर व हुन्छ
ef9b4,feri,07f4b018ad,data/external/incoming/openslr_54/audio/07f4b018ad.wav,अन्त्य गरेर फेरि
4b140,feri,0917cf422a,data/external/incoming/openslr_54/audio/0917cf422a.wav,अन्त्य गरेर फेरि
bda65,maathi,75b23b5dd7,data/external/incoming/openslr_54/audio/75b23b5dd7.wav,अन्त्यमा अफगानिस्तानमाथि
2771e,maathi,84e3f3e9c7,data/external/incoming/openslr_54/audio/84e3f3e9c7.wav,अन्त्यमा अफगानिस्तानमाथि
cc4bf,huncha,d8a74e2a6b,data/external/incoming/openslr_54/audio/d8a74e2a6b.wav,अन्धकारको रूपमा लिनुहुन्छ
b77af,hoina,040700ce47,data/external/incoming/openslr_54/audio/040700ce47.wav,अन्धकार होइन
12e6a,hoina,ca4c020980,data/external/incoming/openslr_54/audio/ca4c020980.wav,अन्धकार होइन
1ad64,hoina,6c5a8a4dbf,data/external/incoming/openslr_54/audio/6c5a8a4dbf.wav,अन्धविश्वास होइन भनेर हुन्न
97b71,huncha,3a66feae10,data/external/incoming/openslr_54/audio/3a66feae10.wav,अन्धा र बहिरा हुन्छन्
ba3bf,huncha,a9e3fcbb1a,data/external/incoming/openslr_54/audio/a9e3fcbb1a.wav,अन्धा र बहिरा हुन्छन्
6d3c6,maathi,52b46e51c2,data/external/incoming/openslr_54/audio/52b46e51c2.wav,अन्य क्षेत्रमाथि आक्रमण
8efbc,maathi,d85c1adb19,data/external/incoming/openslr_54/audio/d85c1adb19.wav,अन्य क्षेत्रमाथि आक्रमण
4714f,tala,1552fd713a,data/external/incoming/openslr_54/audio/1552fd713a.wav,अन्य जातले जस्तै
5b437,tala,c9314fb53a,data/external/incoming/openslr_54/audio/c9314fb53a.wav,अन्य जातले जस्तै
d4c0f,banda,238b2f2e2e,data/external/incoming/openslr_54/audio/238b2f2e2e.wav,अन्य मनुष्यहरूलाई बन्दी
d26e5,banda,40353e1092,data/external/incoming/openslr_54/audio/40353e1092.wav,अन्य मनुष्यहरूलाई बन्दी
5f3b4,huncha,cc9d798b84,data/external/incoming/openslr_54/audio/cc9d798b84.wav,अन्य सामेल हुन्छन्
938ee,huncha,a498bd2c38,data/external/incoming/openslr_54/audio/a498bd2c38.wav,अपनाउनु पर्ने हुन्छ
aead3,huncha,3523cc85e6,data/external/incoming/openslr_54/audio/3523cc85e6.wav,अपरिवर्तनशील हुन्छन्।
555eb,huncha,78e55471b5,data/external/incoming/openslr_54/audio/78e55471b5.wav,अपरिवर्तनशील हुन्छं।
55451,huncha,efffc77e7e,data/external/incoming/openslr_54/audio/efffc77e7e.wav,अपरिवर्तनशील हुन्छं।
4b59a,huncha,4184fa9568,data/external/incoming/openslr_54/audio/4184fa9568.wav,अपलोड गर्नुहुन्छ भने
3e9ed,hoina,16457c3563,data/external/incoming/openslr_54/audio/16457c3563.wav,अपवाद होइन
bee0c,huncha,7936ad362d,data/external/incoming/openslr_54/audio/7936ad362d.wav,अपूर्ण हुन्छ
c0c00,tala,59881a080d,data/external/incoming/openslr_54/audio/59881a080d.wav,अपेक्षाकृत तल्लो स्तरमा
581da,tala,d7824ffdb1,data/external/incoming/openslr_54/audio/d7824ffdb1.wav,अपेक्षाकृत तल्लो स्तरमा
8f426,huncha,699fd5c416,data/external/incoming/openslr_54/audio/699fd5c416.wav,अपेक्षित हुन्छन्
b7e01,huncha,c5ae8a01e5,data/external/incoming/openslr_54/audio/c5ae8a01e5.wav,अपेक्षित हुन्छन्
83eb0,huncha,2455f1a522,data/external/incoming/openslr_54/audio/2455f1a522.wav,अप्ठ्यारो पनि हुन्छ
f65eb,suru,5c9f8df725,data/external/incoming/openslr_54/audio/5c9f8df725.wav,अप्रिलको सुरु
1f680,suru,779530be66,data/external/incoming/openslr_54/audio/779530be66.wav,अप्रिलको सुरु
15b60,maathi,e585bd1da9,data/external/incoming/openslr_54/audio/e585bd1da9.wav,अफगानिस्तानमाथि आक्रमण
c06a7,maathi,a38671353c,data/external/incoming/openslr_54/audio/a38671353c.wav,अफगानिस्तानमाथिको अमेरिकी
5e6be,maathi,31a51bd817,data/external/incoming/openslr_54/audio/31a51bd817.wav,अफगानिस्तानमाथि पटकपटक
55451,feri,a504dbf597,data/external/incoming/openslr_54/audio/a504dbf597.wav,अफगानिस्तानले फेरि एकपटक
276bb,huncha,1ba85027a5,data/external/incoming/openslr_54/audio/1ba85027a5.wav,अब त मलाई जेल हाल्नुहुन्छ होला नि?
